table,variable,themes
female_respondent,SEXONCE_I,contraception_sexual|imputation_flags
female_respondent,VRY1STSX_I,imputation_flags
female_respondent,sexmar,partnership_marriage|contraception_sexual
female_respondent,sexunion,contraception_sexual
female_respondent,FPDUR_I,imputation_flags
female_respondent,LSEXDATE,contraception_sexual
female_respondent,LSEXDATE_I,contraception_sexual|imputation_flags
female_respondent,lsexrage,demographics_social|contraception_sexual
female_respondent,lsexpreg,pregnancy_fertility_history|contraception_sexual
female_respondent,sex3mo,contraception_sexual
female_respondent,PARTS1YR,partnership_marriage|fertility_services_art
female_respondent,PARTS1YR_I,partnership_marriage|fertility_services_art|imputation_flags
female_respondent,PARTDUR1,partnership_marriage|fertility_services_art
female_respondent,PARTDUR2,partnership_marriage|fertility_services_art
female_respondent,PARTDUR3,partnership_marriage|fertility_services_art
female_respondent,PARTDUR1_I,partnership_marriage|fertility_services_art|imputation_flags
female_respondent,PARTDUR2_I,partnership_marriage|fertility_services_art|imputation_flags
female_respondent,PARTDUR3_I,partnership_marriage|fertility_services_art|imputation_flags
female_respondent,RELATP1,partnership_marriage
female_respondent,RELATP2,partnership_marriage
female_respondent,RELATP3,partnership_marriage
